"Participant"	"Affiliation_institution_Brazilian_state"	"Area_of_study"	"Institution"	"Movement_ecology_group_in_institution"	"Works_with_movement"	"When_started_to_work_with_movement"	"Type_of_research"	"Taxon"	"Biome_standardized"	"Level_study"	"Components_mov_ecology_framework"	"Techonology_used"	"Challenges"
93	"SP"	"Ecology/Zoology"	"UNESP Rio Claro - Zoologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
94	"MG"	"Ecology/Zoology/Landscape Ecology"	"USP ESALQ/UNESP"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
95	"BA"	"Ecology"	"UESC/DCB"	"No"	"Yes"	1/1/2005	"Applied"	"MAMMALS"	"Atlantic Forest"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"VHF Telemetry"	"Financeiros"
96	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"Yes"	5/5/2015	"Applied"	"MAMMALS"	"Cerrado"	"Individual"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"Direct Observation"	"Análise de dados"
97	"SP"	"Ecology"	"USP/Departamento de Biologia"	"No"	"Yes"	4/4/2015	"Applied"	"INVERTEBRATES"	"Atlantic Forest"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Tecnológicos"
98	"NA"	"Ecology"	"Unesp"	"No"	"Yes"	7/7/2012	"Applied"	"FISH"	"Marine"	"Population"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?), Estados internos (Explora as motivações da movimentação?) / Internal states (Do you wish to understand why organisms move?), Consequências da movimentação para processos ecológicos e para o ambiente. / Consequences of movement to ecological processes and to the environment"	"GPS Telemetry"	"Análise de dados"
99	"SP"	"Ecology"	"USP/Departamento de Biologia"	"No"	"Yes"	4/4/2015	"Applied"	"INVERTEBRATES"	"Atlantic Forest"	"Individual"	"Fatores externos (Explora quais os fatores externos que afetam as decisões de movimentação.) / Exernal factors (Do you explore the environmental factors that influence movement decisions?)"	"GPS Telemetry"	"Tecnológicos"
100	"SP"	"Ethology"	"USP RB - Departamento de Psicologia"	"No"	"Yes"	10/11/2015	"Applied"	"MAMMALS"	"Cerrado"	"Community"	"Padrões de movimentação (Busca identificar padrões na movimentação?) / Movement patterns (Do you wish to identify behavior based on trajectory patterns?)"	"VHF Telemetry"	"Financeiros, Tecnológicos"
101	"MG"	"Ecology"	"Universidade Federal de Lavras/Departamento de Biologia/Setor de Ecologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
102	"SP"	"Ecology"	"Universidade Federal de Lavras/Departamento de Biologia/Setor de Ecologia"	"No"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
103	"SP"	"Ecology"	"Unesp RC/Departamento de Ecologia"	"Yes"	"No"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
